,league_id,year,start,end,current,events,lineups,statistics_fixtures,statistics_players,standings,players,top_scorers,top_assists,top_cards,injuries,predictions,odds
5887,872,2021,2021-09-18,2022-05-21,False,False,False,False,False,True,False,False,False,False,False,True,False
5888,872,2022,2022-08-27,2023-05-07,False,False,False,False,False,True,False,False,False,False,False,True,False
5889,872,2023,2023-08-11,2024-05-12,True,True,False,False,False,True,False,False,False,False,False,True,False
5890,873,2021,2021-09-01,2021-09-01,False,True,True,False,False,False,False,False,False,False,False,True,False
5891,873,2022,2022-08-06,2022-08-06,False,True,True,False,False,False,False,False,False,False,False,True,False
5892,873,2023,2023-08-05,2023-08-05,True,True,True,False,False,False,False,False,False,False,False,True,False
5893,874,2021,2021-09-14,2022-02-05,False,True,True,False,False,False,True,True,True,True,False,True,False
5894,874,2022,2022-05-12,2022-10-01,False,True,True,False,False,False,True,True,True,True,False,True,False
5895,874,2023,2023-07-17,2023-10-07,False,True,True,False,False,False,True,True,True,True,False,True,False
5896,874,2024,2024-07-23,2024-07-30,True,False,False,False,False,False,False,False,False,False,False,True,False
5897,875,2021,2021-09-04,2022-05-15,False,True,True,False,False,True,True,True,True,True,False,True,False
5898,875,2022,2022-09-04,2023-05-14,False,True,True,False,False,True,True,True,True,True,False,True,False
5899,875,2023,2023-09-03,2024-05-05,True,True,True,False,False,True,True,True,True,True,False,True,False
5900,876,2021,2021-09-04,2022-05-15,False,True,True,False,False,True,True,True,True,True,False,True,False
5901,876,2022,2022-09-04,2023-05-14,False,True,True,False,False,True,True,True,True,True,False,True,False
5902,876,2023,2023-09-03,2024-05-05,True,True,True,False,False,True,True,True,True,True,False,True,False
5903,877,2021,2021-09-05,2022-05-15,False,True,True,False,False,True,True,True,True,True,False,True,False
5904,877,2022,2022-09-04,2023-05-14,False,True,True,False,False,True,True,True,True,True,False,True,False
5905,877,2023,2023-09-02,2024-05-05,True,True,True,False,False,True,True,True,True,True,False,True,False
5906,878,2021,2021-09-04,2022-05-15,False,True,True,False,False,True,True,True,True,True,False,True,False
5907,878,2022,2022-09-04,2023-05-14,False,True,True,False,False,True,True,True,True,True,False,True,False
5908,878,2023,2023-09-02,2024-05-05,True,True,True,False,False,True,True,True,True,True,False,True,False
5909,879,2021,2021-09-04,2022-05-15,False,True,True,False,False,True,True,True,True,True,False,True,False
5910,879,2022,2022-09-04,2023-05-14,False,True,True,False,False,True,True,True,True,True,False,True,False
5911,879,2023,2023-09-03,2024-05-05,True,True,True,False,False,True,True,True,True,True,False,True,False
5912,880,2021,2021-09-16,2022-10-11,True,True,True,False,False,True,True,True,True,True,False,True,False
5913,883,2021,2021-09-27,2022-03-14,True,True,False,False,False,True,False,False,False,False,False,True,False
5914,884,2021,2021-09-11,2021-09-11,False,True,True,False,False,False,False,False,False,False,False,True,False
5915,884,2022,2022-08-30,2022-08-30,False,True,True,False,False,False,False,False,False,False,False,True,False
5916,884,2023,2023-09-01,2023-09-01,False,True,True,False,False,False,False,False,False,False,False,True,False
5917,884,2024,2024-08-28,2024-08-28,True,False,False,False,False,False,False,False,False,False,False,True,False
5918,887,2021,2021-10-02,2022-05-28,False,True,False,False,False,True,False,False,False,False,False,True,False
5919,887,2022,2022-10-13,2023-06-01,False,True,False,False,False,True,True,True,True,True,False,True,False
5920,887,2023,2023-09-24,2024-06-26,True,True,False,False,False,True,True,True,True,True,False,True,False
5921,888,2021,2021-10-01,2022-05-27,False,True,False,False,False,True,False,False,False,False,False,True,False
5922,888,2022,2022-10-14,2023-06-02,True,True,False,False,False,True,True,True,True,True,False,True,False
5923,889,2021,2021-09-30,2022-05-26,False,True,False,False,False,True,False,False,False,False,False,True,False
5924,889,2022,2022-10-12,2023-05-31,True,True,False,False,False,True,True,True,True,True,False,True,False
5925,890,2021,2021-09-02,2022-03-29,False,True,False,False,False,False,False,False,False,False,False,True,False
5926,890,2022,2022-06-07,2023-03-28,False,True,False,False,False,False,False,False,False,False,False,True,False
5927,890,2023,2023-09-07,2024-03-26,False,True,False,False,False,False,False,False,False,False,False,True,False
5928,890,2024,2024-09-05,2025-03-25,True,False,False,False,False,False,False,False,False,False,False,True,False
5929,892,2021,2021-09-11,2022-05-22,False,True,False,False,False,False,False,False,False,False,False,True,False
5930,892,2022,2022-08-20,2023-05-27,False,True,False,False,False,False,False,False,False,False,False,True,False
5931,892,2023,2023-08-26,2024-05-29,True,True,False,False,False,False,False,False,False,False,False,True,False
